index,type,start_ms,duration_ms,units
570,SPACE,368.415563,0.413000,1
571,MARK,368.828563,0.517000,1
572,SPACE,369.345563,1.342625,3
573,MARK,370.688187,1.934687,5
574,SPACE,372.622875,0.413312,1
575,MARK,373.036187,0.388937,1
576,SPACE,373.425125,0.411687,1
577,MARK,373.836813,0.387937,1
578,SPACE,374.224750,0.826625,2
579,MARK,375.051375,0.903500,2
580,SPACE,375.954875,0.413938,1
581,MARK,376.368812,0.774500,2
582,SPACE,377.143312,0.412187,1
583,MARK,377.555500,0.387937,1
584,SPACE,377.943437,0.413562,1
585,MARK,378.357000,0.387062,1
586,SPACE,378.744062,0.928875,2
587,MARK,379.672937,1.421812,3
588,SPACE,381.094750,0.412125,1
589,MARK,381.506875,0.388250,1
590,SPACE,381.895125,0.413875,1
591,MARK,382.309000,0.388000,1
592,SPACE,382.697000,0.412000,1
593,MARK,383.109000,0.388250,1
594,SPACE,383.497250,1.343375,3
595,MARK,384.840625,2.062688,5
596,SPACE,386.903312,0.415438,1
597,MARK,387.318750,0.386813,1
598,SPACE,387.705562,0.411687,1
599,MARK,388.117250,0.387812,1
600,SPACE,388.505063,0.826750,2
601,MARK,389.331813,0.774625,2
602,SPACE,390.106438,0.412438,1
603,MARK,390.518875,0.904875,2
604,SPACE,391.423750,0.412062,1
605,MARK,391.835812,0.388063,1
606,SPACE,392.223875,0.413562,1
607,MARK,392.637438,0.387688,1
608,SPACE,393.025125,0.928187,2
609,MARK,393.953312,1.421938,3
610,SPACE,395.375250,0.413438,1
611,MARK,395.788688,0.386938,1
612,SPACE,396.175625,0.413813,1
613,MARK,396.589437,0.387937,1
614,SPACE,396.977375,0.412062,1
615,MARK,397.389437,0.388937,1
616,SPACE,397.778375,1.342687,3
617,MARK,399.121062,1.933812,5
618,SPACE,401.054875,0.414062,1
619,MARK,401.468938,0.517063,1
620,SPACE,401.986000,0.412812,1
621,MARK,402.398812,0.386687,1
622,SPACE,402.785500,0.826750,2
623,MARK,403.612250,0.775375,2
624,SPACE,404.387625,0.411562,1
625,MARK,404.799188,0.905000,2
626,SPACE,405.704187,0.413375,1
627,MARK,406.117562,0.386750,1
628,SPACE,406.504313,0.413438,1
629,MARK,406.917750,0.387812,1
